country,2002,2003,2004,2005
Albania,22.4,,,22.4
Algeria,15.2,,,15.2
Andorra,32.9,,,32.9
Argentina,30,,,30
Armenia,29.6,,,29.6
Australia,24.8,,,24.8
Austria,43.3,,,43.3
Bahrain,14.6,,,14.6
Bangladesh,25.6,,,25.6
Barbados,10.8,,,10.8
Belarus,42.6,,,42.6
Belgium,27.1,,,27.1
Bolivia,31.7,,,31.7
Bosnia and Herzegovina,42.3,,,42.3
Bulgaria,37.7,,,37.7
Burkina Faso,16.6,,,16.6
Cambodia,23.6,,,23.6
Cameroon,7.4,,,7.4
Canada,21.6,,,21.6
Chad,9.4,,,9.4
Chile,37.9,,,37.9
China,31.8,,,31.8
Comoros,20.7,,,20.7
"Congo, Dem. Rep.",8.1,,,8.1
"Congo, Rep.",6.6,,,6.6
Costa Rica,16.8,,,16.8
Cote d'Ivoire,9,,,9
Croatia,34,,,34
Cuba,35.9,,,35.9
Czech Republic,31,,,31
Denmark,33.4,,,33.4
Dominican Republic,15.4,,,15.4
Ecuador,14.9,,,14.9
Egypt,15.1,,,15.1
Eritrea,9.1,,,9.1
Estonia,38.8,,,38.8
Ethiopia,4.3,,,4.3
Fiji,14.4,,,14.4
Finland,28.1,,,28.1
France,31.7,,,31.7
Gambia,16.2,,,16.2
Georgia,31.9,,,31.9
Germany,31.6,,,31.6
Ghana,5.5,,,5.5
Greece,51.8,,,51.8
Guatemala,14.4,,,14.4
Hungary,39.8,,,39.8
Iceland,26.3,,,26.3
India,18.6,,,18.6
Indonesia,35.4,,,35.4
Iran,17.6,,,17.6
Iraq,14.2,,,14.2
Ireland,26.3,,,26.3
Israel,24.6,,,24.6
Italy,26.1,,,26.1
Jamaica,15,,,15
Japan,29.4,,,29.4
Jordan,36.5,,,36.5
Kazakhstan,26.6,,,26.6
Kenya,14.7,,,14.7
Kyrgyz Republic,24.7,,,24.7
Lao,40.5,,,40.5
Latvia,39.4,,,39.4
Lebanon,18.1,,,18.1
Lithuania,33,,,33
Luxembourg,34.7,,,34.7
Malawi,15,,,15
Malaysia,28.8,,,28.8
Maldives,28.2,,,28.2
Mali,11.2,,,11.2
Malta,28.7,,,28.7
Mauritania,13.1,,,13.1
Mauritius,18.5,,,18.5
Mexico,24.7,,,24.7
Moldova,26,,,26
Mongolia,26.3,,,26.3
Morocco,15,,,15
Mozambique,12.8,,,12.8
Myanmar,30.2,,,30.2
Namibia,24.9,,,24.9
Nauru,49.2,,,49.2
Nepal,30.6,,,30.6
Netherlands,34.3,,,34.3
New Zealand,28.6,,,28.6
Nigeria,7.1,,,7.1
Norway,32,,,32
Oman,13.1,,,13.1
Pakistan,21.1,,,21.1
Palau,24,,,24
Paraguay,24,,,24
Philippines,26,,,26
Poland,35.6,,,35.6
Portugal,35.8,,,35.8
Romania,32.6,,,32.6
Russia,48.5,,,48.5
Samoa,41,,,41
Sao Tome and Principe,16.9,,,16.9
Saudi Arabia,14.7,,,14.7
Senegal,10.7,,,10.7
Serbia,42.3,,,42.3
Seychelles,21.2,,,21.2
Slovak Republic,30.9,,,30.9
Slovenia,26.5,,,26.5
South Africa,18.4,,,18.4
South Korea,29.7,,,29.7
Spain,33.7,,,33.7
Sri Lanka,16.5,,,16.5
St. Lucia,20.6,,,20.6
Swaziland,8.9,,,8.9
Sweden,22,,,22
Switzerland,26.5,,,26.5
Tanzania,14.6,,,14.6
Thailand,21.7,,,21.7
Tonga,39,,,39
Trinidad and Tobago,22.1,,,22.1
Tunisia,26.6,,,26.6
Turkey,35.5,,,35.5
Uganda,12.1,,,12.1
United Arab Emirates,14.4,,,14.4
United Kingdom,35.7,,,35.7
United States,23.9,,,23.9
Uruguay,32.6,,,32.6
Uzbekistan,12.8,,,12.8
Vanuatu,28.8,,,28.8
Venezuela,29.8,,,29.8
Vietnam,24.3,,,24.3
Zambia,13.4,,,13.4
Zimbabwe,15,,,15
